"starsign";"chinese";"moon";"blood";"fingers_crossed";"success"
"Cancer";"Snake";"Waxing (+)";"AB+";1;1
"Taurus";"Rat";"Waning (-)";"0+";0;1
"Virgo";"Rat";"Waxing (+)";"A+";0;1
"Cancer";"Rooster";"Waxing (+)";"B-";0;1
"Scorpio";"Tiger";"Waxing (+)";"0+";0;1
"Saggitarius";"Rat";"Waning (-)";"A+";1;1
"Leo";"Rabbit";"Waning (-)";"0+";1;1
"Aries";"Pig";"Waxing (+)";"A+";0;0
"Carpicorn";"Dog";"Full (O)";"A+";0;1
"Leo";"Rabbit";"Waxing (+)";"0+";0;0
"Carpicorn";"Monkey";"New ( )";"0+";1;0
"Saggitarius";"Rooster";"Waxing (+)";"A+";0;0
"Virgo";"Monkey";"Waxing (+)";"A+";1;0
"Cancer";"Ox";"Waning (-)";"0+";0;0
"Taurus";"Rabbit";"Full (O)";"B+";0;1
"Gemini";"Rat";"Waxing (+)";"B+";1;0
"Saggitarius";"Monkey";"Waxing (+)";"A-";0;1
"Cancer";"Monkey";"Waxing (+)";"B+";1;0
"Taurus";"Goat";"Waxing (+)";"A+";0;1
"Pisces";"Dragon";"Full (O)";"0+";1;0
"Pisces";"Dragon";"Waning (-)";"A+";0;0
"Aquarius";"Dragon";"Waning (-)";"A+";0;1
"Saggitarius";"Horse";"Waning (-)";"AB+";1;1
"Carpicorn";"Rat";"Waxing (+)";"0+";0;0
"Aquarius";"Ox";"Waning (-)";"0+";0;0
"Pisces";"Monkey";"Full (O)";"0+";0;0
"Carpicorn";"Snake";"Waxing (+)";"A+";0;1
"Virgo";"Rat";"Waxing (+)";"0+";0;0
"Libra";"Rat";"Full (O)";"0+";0;0
"Aquarius";"Rabbit";"Waxing (+)";"AB+";0;1
"Libra";"Dragon";"Waning (-)";"A+";0;0
"Scorpio";"Pig";"Waning (-)";"A+";0;1
"Leo";"Snake";"Waxing (+)";"0+";0;1
"Gemini";"Tiger";"Waning (-)";"0+";0;1
"Leo";"Pig";"Waning (-)";"A+";0;0
"Cancer";"Snake";"Waning (-)";"AB+";1;0
"Cancer";"Dragon";"Waning (-)";"0+";0;0
"Scorpio";"Pig";"Waning (-)";"0+";0;0
"Aries";"Monkey";"New ( )";"A+";1;0
"Scorpio";"Dog";"Waxing (+)";"A+";0;0
"Leo";"Ox";"Waning (-)";"0+";0;1
"Virgo";"Monkey";"Waning (-)";"0+";0;0
"Scorpio";"Monkey";"Waning (-)";"A-";0;0
"Gemini";"Rat";"Full (O)";"0+";0;0
"Carpicorn";"Dragon";"New ( )";"A+";0;0
"Taurus";"Rat";"Waxing (+)";"0+";0;1
"Taurus";"Dragon";"Waning (-)";"AB-";0;0
"Saggitarius";"Monkey";"Full (O)";"0-";0;1
"Cancer";"Rooster";"Waning (-)";"0+";0;0
"Virgo";"Goat";"Waning (-)";"A-";0;0
"Gemini";"Ox";"Waxing (+)";"A+";0;1
"Carpicorn";"Snake";"Waning (-)";"0+";0;1
"Saggitarius";"Dog";"Waxing (+)";"0-";0;0
"Taurus";"Goat";"Waning (-)";"A+";0;0
"Virgo";"Goat";"Waning (-)";"0+";0;0
"Gemini";"Snake";"Waxing (+)";"A+";1;0
"Virgo";"Ox";"Waxing (+)";"0+";0;0
"Libra";"Ox";"Waxing (+)";"0+";0;1
"Saggitarius";"Ox";"Waning (-)";"0+";0;0
"Taurus";"Snake";"Waning (-)";"0+";0;0
"Virgo";"Snake";"Waxing (+)";"0+";1;0
"Taurus";"Rabbit";"Full (O)";"0+";0;0
"Virgo";"Snake";"Waxing (+)";"0+";1;0
"Aquarius";"Horse";"Full (O)";"B-";0;1
"Carpicorn";"Monkey";"Waxing (+)";"B-";0;1
"Aquarius";"Rabbit";"Waxing (+)";"0+";1;0
"Taurus";"Snake";"Waxing (+)";"B+";1;0
"Gemini";"Tiger";"Waning (-)";"B+";0;0
"Saggitarius";"Dog";"Waxing (+)";"A+";1;1
"Virgo";"Snake";"Waning (-)";"A+";0;1
"Cancer";"Rabbit";"Waxing (+)";"A+";0;1
"Gemini";"Monkey";"Waning (-)";"0-";0;0
"Gemini";"Monkey";"Waning (-)";"A+";0;1
"Saggitarius";"Snake";"Waning (-)";"B+";0;1
"Scorpio";"Dog";"Waxing (+)";"A+";0;0
"Libra";"Ox";"Waxing (+)";"A+";0;0
"Pisces";"Tiger";"Full (O)";"AB+";0;0
"Cancer";"Dog";"New ( )";"A+";0;1
"Aquarius";"Goat";"Waxing (+)";"0+";0;1
"Cancer";"Tiger";"Waning (-)";"A+";0;1
"Gemini";"Horse";"Waxing (+)";"0+";0;1
"Gemini";"Ox";"Full (O)";"0+";0;1
"Pisces";"Snake";"Waxing (+)";"A+";0;0
"Carpicorn";"Horse";"Full (O)";"0+";0;0
"Libra";"Dragon";"Waning (-)";"B-";1;0
"Carpicorn";"Snake";"Waning (-)";"A-";0;0
"Carpicorn";"Dog";"Waning (-)";"0-";0;1
"Saggitarius";"Horse";"Waxing (+)";"A+";1;0
"Pisces";"Monkey";"Waning (-)";"0+";0;0
"Cancer";"Ox";"Waning (-)";"B+";0;1
"Libra";"Rooster";"Waning (-)";"0+";0;1
"Taurus";"Rabbit";"Waxing (+)";"A+";0;1
"Gemini";"Dog";"New ( )";"A+";0;1
"Carpicorn";"Ox";"Waning (-)";"A+";0;0
"Carpicorn";"Horse";"Waxing (+)";"A+";0;1
"Libra";"Rabbit";"Full (O)";"B-";0;1
"Virgo";"Rat";"Waxing (+)";"0+";0;1
"Libra";"Rooster";"Waning (-)";"0+";0;0
"Taurus";"Pig";"Waxing (+)";"AB+";1;0
"Pisces";"Pig";"Waning (-)";"0+";0;0
"Saggitarius";"Horse";"Waning (-)";"0+";0;1
"Cancer";"Monkey";"Waning (-)";"AB+";0;0
"Scorpio";"Ox";"Waning (-)";"0+";1;1
"Pisces";"Rabbit";"Waning (-)";"0+";0;0
"Cancer";"Goat";"Waning (-)";"A-";0;1
"Virgo";"Monkey";"Waxing (+)";"AB-";0;1
"Aquarius";"Tiger";"Waxing (+)";"A+";0;1
"Cancer";"Goat";"Waxing (+)";"0-";0;0
"Taurus";"Rabbit";"New ( )";"A-";0;0
"Libra";"Monkey";"Waning (-)";"A+";0;0
"Cancer";"Dog";"Waxing (+)";"AB+";0;1
"Saggitarius";"Tiger";"Waxing (+)";"0+";0;1
"Saggitarius";"Goat";"New ( )";"0+";0;1
"Libra";"Rabbit";"Waning (-)";"0+";1;0
"Gemini";"Tiger";"Waning (-)";"A+";0;1
"Cancer";"Snake";"New ( )";"A+";0;0
"Libra";"Dragon";"Waning (-)";"A+";0;1
"Virgo";"Monkey";"Waxing (+)";"A+";0;1
"Taurus";"Rat";"Waxing (+)";"0+";0;1
"Taurus";"Dog";"Waxing (+)";"B+";0;1
"Pisces";"Rabbit";"Waning (-)";"0-";0;1
"Leo";"Ox";"Full (O)";"A+";1;0
"Aries";"Goat";"Waxing (+)";"A-";0;0
"Carpicorn";"Monkey";"Waning (-)";"0+";1;1
"Pisces";"Dog";"Waning (-)";"0-";0;0
"Libra";"Snake";"Full (O)";"0+";0;1
"Aries";"Rat";"Waning (-)";"A+";0;0
"Aquarius";"Dragon";"Waxing (+)";"B+";0;0
"Leo";"Snake";"Waning (-)";"B+";1;1
"Carpicorn";"Dragon";"Waxing (+)";"A+";1;0
"Aries";"Rat";"Waning (-)";"A+";0;0
"Carpicorn";"Horse";"Waxing (+)";"0+";0;0
"Carpicorn";"Rat";"Waning (-)";"A-";0;0
"Carpicorn";"Horse";"Waxing (+)";"0+";0;1
"Gemini";"Dragon";"Waxing (+)";"B+";0;0
"Taurus";"Goat";"New ( )";"A+";0;1
"Virgo";"Horse";"Full (O)";"0+";0;1
"Scorpio";"Rat";"Waxing (+)";"A-";0;1
"Aries";"Ox";"New ( )";"A+";0;0
"Aries";"Horse";"Waxing (+)";"A-";1;1
"Saggitarius";"Pig";"Waxing (+)";"0+";0;0
"Leo";"Goat";"New ( )";"A+";1;0
"Scorpio";"Goat";"Waning (-)";"0+";1;0
"Carpicorn";"Rabbit";"Waxing (+)";"AB+";0;0
"Pisces";"Dog";"Waning (-)";"0+";0;1
"Scorpio";"Pig";"Waxing (+)";"0+";0;0
"Gemini";"Horse";"Waning (-)";"0+";0;0
"Carpicorn";"Rabbit";"Waning (-)";"B+";0;1
"Pisces";"Pig";"Waxing (+)";"0+";0;1
"Virgo";"Horse";"Waxing (+)";"B+";0;1
"Cancer";"Tiger";"Waxing (+)";"0+";1;1
"Leo";"Rabbit";"Waxing (+)";"A-";0;1
"Taurus";"Rat";"Waxing (+)";"0+";0;1
"Scorpio";"Dog";"Full (O)";"0+";0;1
"Saggitarius";"Horse";"Waning (-)";"0+";0;1
"Scorpio";"Monkey";"Waxing (+)";"0+";0;1
"Pisces";"Monkey";"Waning (-)";"B+";1;1
"Libra";"Rat";"Waxing (+)";"B-";0;0
"Cancer";"Ox";"Waning (-)";"A+";0;1
"Scorpio";"Dragon";"Waxing (+)";"0+";0;1
"Taurus";"Ox";"Waxing (+)";"A-";0;1
"Saggitarius";"Pig";"Full (O)";"0-";0;0
"Carpicorn";"Dragon";"Waxing (+)";"A+";1;0
"Cancer";"Dragon";"Waning (-)";"A+";0;1
"Cancer";"Rabbit";"Waning (-)";"B+";0;1
"Pisces";"Rabbit";"Waxing (+)";"0+";0;0
"Leo";"Rooster";"New ( )";"0+";1;1
"Aries";"Rabbit";"Waning (-)";"A+";1;0
"Carpicorn";"Monkey";"Waning (-)";"A+";0;1
"Aries";"Rabbit";"Waning (-)";"A+";0;1
"Aquarius";"Tiger";"Waning (-)";"A-";0;0
"Leo";"Dragon";"Waxing (+)";"B+";0;1
"Virgo";"Horse";"Waning (-)";"A+";0;0
"Taurus";"Monkey";"Full (O)";"0+";0;0
"Pisces";"Goat";"Waning (-)";"0+";0;0
"Scorpio";"Tiger";"Waning (-)";"AB+";0;1
"Virgo";"Horse";"Waning (-)";"A+";1;0
"Aquarius";"Rooster";"Waxing (+)";"0+";0;0
"Aquarius";"Snake";"Waxing (+)";"A+";0;1
"Aquarius";"Rabbit";"Waxing (+)";"A+";0;0
"Scorpio";"Rat";"Full (O)";"0+";0;0
"Gemini";"Pig";"Waxing (+)";"0-";0;1
"Pisces";"Tiger";"Waning (-)";"0+";1;1
"Gemini";"Snake";"Waxing (+)";"A+";0;1
"Aquarius";"Dragon";"Waxing (+)";"0-";0;1
"Scorpio";"Snake";"New ( )";"A+";0;0
"Scorpio";"Ox";"Waxing (+)";"B+";0;0
"Carpicorn";"Rat";"Waxing (+)";"AB+";0;1
"Virgo";"Pig";"Waxing (+)";"A-";1;1
"Aquarius";"Pig";"Full (O)";"A+";1;0
"Pisces";"Rabbit";"Waning (-)";"A+";0;1
"Aquarius";"Dog";"Waning (-)";"0+";1;0
"Libra";"Dragon";"Full (O)";"0+";1;0
"Gemini";"Tiger";"Waxing (+)";"A+";0;0
"Carpicorn";"Goat";"Waxing (+)";"0+";0;1
"Gemini";"Pig";"Waning (-)";"A+";0;0
"Taurus";"Ox";"Waning (-)";"AB+";0;1
"Taurus";"Dog";"Waning (-)";"A+";0;0
"Saggitarius";"Pig";"Waning (-)";"A+";0;1
"Carpicorn";"Tiger";"Waning (-)";"0+";0;1
"Cancer";"Pig";"Waning (-)";"0+";0;0
"Aquarius";"Tiger";"Waning (-)";"0+";1;0
"Aquarius";"Tiger";"Waxing (+)";"0+";0;0
"Saggitarius";"Rat";"Waning (-)";"0-";0;0
"Aries";"Tiger";"Full (O)";"A+";1;0
"Gemini";"Pig";"Waxing (+)";"A+";0;1
"Taurus";"Rooster";"Waxing (+)";"A-";0;0
"Aries";"Monkey";"Waning (-)";"0-";0;1
"Pisces";"Rat";"Waxing (+)";"A+";0;1
"Virgo";"Monkey";"Waxing (+)";"A+";0;0
"Virgo";"Rooster";"Waning (-)";"B+";0;1
"Aries";"Rat";"Waning (-)";"AB+";0;1
"Gemini";"Dog";"Full (O)";"A+";0;1
"Carpicorn";"Ox";"Waxing (+)";"0-";1;1
"Scorpio";"Rat";"Waxing (+)";"A-";1;1
"Pisces";"Goat";"New ( )";"A+";0;1
"Carpicorn";"Ox";"Waxing (+)";"A+";1;0
"Saggitarius";"Horse";"Waning (-)";"A+";0;1
"Gemini";"Monkey";"Waning (-)";"B+";0;1
"Libra";"Rooster";"Waxing (+)";"A+";0;0
"Libra";"Pig";"Waning (-)";"A+";0;0
"Gemini";"Dragon";"Waning (-)";"0+";0;1
"Aquarius";"Ox";"Waxing (+)";"0+";1;0
"Leo";"Rooster";"Waning (-)";"0+";0;1
"Saggitarius";"Monkey";"Waxing (+)";"AB-";0;0
"Libra";"Horse";"New ( )";"0+";0;1
"Scorpio";"Rooster";"Waning (-)";"0-";0;0
"Saggitarius";"Snake";"Waxing (+)";"0+";0;0
"Gemini";"Goat";"New ( )";"A+";0;0
"Libra";"Rat";"Waxing (+)";"A+";0;1
"Gemini";"Goat";"Waning (-)";"A+";0;1
"Libra";"Ox";"Full (O)";"A+";0;1
"Carpicorn";"Monkey";"Full (O)";"A+";0;1
"Scorpio";"Horse";"Waxing (+)";"0+";0;1
"Leo";"Rat";"Waning (-)";"A+";1;0
"Leo";"Rabbit";"New ( )";"0-";0;1
"Taurus";"Snake";"Waning (-)";"0+";0;0
"Leo";"Dragon";"New ( )";"A+";0;0
"Carpicorn";"Ox";"Waning (-)";"A+";0;0
"Taurus";"Pig";"New ( )";"B+";0;1
"Aries";"Ox";"Waning (-)";"A-";0;1
"Aquarius";"Rat";"Waxing (+)";"0+";0;0
"Pisces";"Tiger";"Waning (-)";"A+";0;0
"Scorpio";"Tiger";"Waxing (+)";"B-";0;1
"Virgo";"Rooster";"New ( )";"AB+";0;0
"Libra";"Rooster";"Waning (-)";"B+";0;1
"Gemini";"Tiger";"Waning (-)";"B+";0;1
"Cancer";"Ox";"Waxing (+)";"A+";0;1
"Virgo";"Rooster";"Waxing (+)";"A+";0;1
"Virgo";"Ox";"Waxing (+)";"A-";0;1
"Saggitarius";"Monkey";"Waning (-)";"A+";0;1
"Gemini";"Rabbit";"Waning (-)";"A+";0;1
"Libra";"Dog";"Waning (-)";"A+";0;1
"Gemini";"Goat";"Full (O)";"0+";0;0
"Scorpio";"Pig";"Waning (-)";"A+";1;0
"Taurus";"Tiger";"Waning (-)";"A+";0;0
"Aquarius";"Goat";"Waxing (+)";"0+";0;0
"Pisces";"Horse";"Waning (-)";"0+";1;0
"Cancer";"Dragon";"Full (O)";"B-";0;1
"Scorpio";"Ox";"Full (O)";"0+";1;0
"Saggitarius";"Rabbit";"Waning (-)";"0+";0;0
"Gemini";"Rat";"New ( )";"A+";1;0
"Carpicorn";"Rabbit";"Waning (-)";"0-";0;1
"Pisces";"Ox";"Waning (-)";"0+";0;0
"Aries";"Dragon";"Waxing (+)";"A+";0;0
"Carpicorn";"Rabbit";"Waning (-)";"A+";1;0
"Taurus";"Rabbit";"New ( )";"A+";0;0
"Aquarius";"Dragon";"Full (O)";"A+";0;1
"Virgo";"Goat";"Waxing (+)";"B-";1;1
"Virgo";"Rabbit";"Waning (-)";"A+";0;1
"Taurus";"Horse";"Waxing (+)";"0-";0;0
"Virgo";"Dragon";"Waxing (+)";"0+";0;0
"Leo";"Dragon";"New ( )";"0+";1;1
"Libra";"Dragon";"Waning (-)";"0+";1;0
"Aquarius";"Rat";"Full (O)";"A+";0;0
"Saggitarius";"Snake";"Waning (-)";"0+";0;1
"Virgo";"Dog";"Waning (-)";"A+";0;0
"Aquarius";"Ox";"Waxing (+)";"0+";0;1
"Virgo";"Rooster";"Waxing (+)";"0+";0;0
"Aries";"Rooster";"Waning (-)";"A-";0;1
"Aquarius";"Tiger";"Full (O)";"A+";0;1
"Leo";"Ox";"Waning (-)";"A-";0;0
"Cancer";"Rabbit";"Waxing (+)";"A+";0;1
"Gemini";"Dragon";"New ( )";"A+";1;1
"Pisces";"Tiger";"New ( )";"A-";1;0
"Scorpio";"Pig";"Waxing (+)";"0+";0;1
"Pisces";"Rat";"Waning (-)";"A+";0;1
"Aries";"Snake";"Waning (-)";"A+";0;1
"Scorpio";"Dragon";"Waxing (+)";"0-";0;0
"Virgo";"Horse";"Waxing (+)";"A+";0;1
"Carpicorn";"Monkey";"Waxing (+)";"AB+";0;0
"Pisces";"Horse";"Waxing (+)";"A+";0;1
"Aries";"Pig";"Waning (-)";"B+";0;0
"Virgo";"Horse";"Waxing (+)";"0-";0;1
"Carpicorn";"Rat";"Waxing (+)";"A-";0;0
"Leo";"Rat";"Waxing (+)";"A+";0;1
"Libra";"Tiger";"Waxing (+)";"A+";0;1
"Cancer";"Rat";"Waxing (+)";"A+";0;0
"Carpicorn";"Rooster";"New ( )";"0+";0;0
"Virgo";"Tiger";"Waning (-)";"B+";0;1
"Carpicorn";"Rooster";"Waxing (+)";"A+";1;0
"Aries";"Monkey";"Waxing (+)";"A+";0;1
"Taurus";"Dog";"Waxing (+)";"A+";0;0
"Saggitarius";"Dragon";"New ( )";"A-";0;0
"Carpicorn";"Rooster";"Full (O)";"A+";0;1
"Carpicorn";"Dragon";"Waxing (+)";"A+";0;0
"Pisces";"Ox";"Waxing (+)";"A+";1;0
"Aquarius";"Snake";"Waning (-)";"A-";0;0
"Pisces";"Dragon";"Waning (-)";"0+";0;1
"Aries";"Tiger";"Full (O)";"0+";1;1
"Scorpio";"Rat";"Waxing (+)";"A+";0;1
"Aquarius";"Horse";"Waxing (+)";"B+";0;1
"Scorpio";"Snake";"Waning (-)";"0+";0;0
"Taurus";"Rooster";"New ( )";"0+";0;1
"Libra";"Dog";"Waxing (+)";"0+";0;1
"Gemini";"Rooster";"Waning (-)";"AB+";0;1
"Scorpio";"Tiger";"Waning (-)";"AB+";0;1
"Taurus";"Rabbit";"Waxing (+)";"0+";0;0
"Carpicorn";"Dog";"Waxing (+)";"0+";0;1
"Taurus";"Dog";"Waxing (+)";"A+";0;0
"Gemini";"Tiger";"Waning (-)";"0+";0;1
"Pisces";"Ox";"Waxing (+)";"AB+";0;1
"Aries";"Dog";"New ( )";"A+";0;1
"Leo";"Ox";"Waxing (+)";"B+";0;1
"Saggitarius";"Rooster";"New ( )";"A-";1;1
"Saggitarius";"Pig";"Full (O)";"A+";0;1
"Saggitarius";"Rabbit";"New ( )";"A-";0;0
"Pisces";"Dog";"Waxing (+)";"A+";1;0
"Aquarius";"Rooster";"Waning (-)";"A+";0;0
"Leo";"Rabbit";"Waning (-)";"A+";0;0
"Taurus";"Snake";"Waxing (+)";"A+";0;1
"Libra";"Dragon";"Full (O)";"A+";0;0
"Libra";"Pig";"Waning (-)";"A+";0;0
"Saggitarius";"Horse";"Waning (-)";"B+";0;1
"Carpicorn";"Tiger";"Waning (-)";"A-";0;1
"Saggitarius";"Tiger";"Waning (-)";"A+";0;1
"Libra";"Monkey";"Waxing (+)";"B+";0;0
"Cancer";"Dragon";"Full (O)";"0+";0;0
"Libra";"Rabbit";"Waxing (+)";"A-";0;1
"Aquarius";"Dragon";"Waning (-)";"0+";1;1
"Leo";"Rabbit";"Waxing (+)";"A+";0;0
"Carpicorn";"Rabbit";"Waning (-)";"B+";0;1
"Aquarius";"Pig";"Waning (-)";"0+";0;1
"Virgo";"Dragon";"Waning (-)";"A+";0;1
"Leo";"Goat";"Waxing (+)";"A+";0;1
"Gemini";"Rabbit";"Full (O)";"0+";0;1
"Libra";"Tiger";"Waxing (+)";"0+";0;0
"Carpicorn";"Dragon";"Waning (-)";"0+";1;0
"Scorpio";"Ox";"New ( )";"AB+";1;1
"Aries";"Rabbit";"Waxing (+)";"AB+";0;0
"Taurus";"Monkey";"New ( )";"A+";0;0
"Pisces";"Dog";"Full (O)";"A+";1;1
"Scorpio";"Rooster";"Waxing (+)";"0+";0;1
"Aquarius";"Rat";"Waning (-)";"A+";0;1
"Libra";"Rooster";"Waning (-)";"0+";0;1
"Leo";"Rabbit";"Waning (-)";"0+";0;1
"Virgo";"Horse";"Full (O)";"AB+";1;0
"Leo";"Rat";"Waxing (+)";"A+";0;1
"Gemini";"Goat";"New ( )";"0+";0;1
"Leo";"Horse";"Waning (-)";"A+";0;1
"Leo";"Ox";"Waxing (+)";"A+";0;1
"Virgo";"Ox";"Waning (-)";"A+";0;0
"Taurus";"Dog";"Waxing (+)";"B+";0;1
"Aquarius";"Dragon";"New ( )";"0+";0;1
"Libra";"Horse";"New ( )";"A+";0;0
"Saggitarius";"Rooster";"Waxing (+)";"0+";1;0
"Gemini";"Goat";"Waxing (+)";"A+";0;0
"Taurus";"Snake";"Waxing (+)";"0+";0;0
"Cancer";"Rat";"Waxing (+)";"0+";1;0
"Taurus";"Dog";"Waning (-)";"A+";1;1
"Aries";"Dragon";"New ( )";"0+";0;0
"Libra";"Horse";"Full (O)";"0+";1;1
"Aquarius";"Snake";"Waxing (+)";"AB+";0;0
"Scorpio";"Ox";"Waxing (+)";"0+";0;0
"Gemini";"Rooster";"Waning (-)";"A+";0;1
"Taurus";"Ox";"Waxing (+)";"0-";0;1
"Libra";"Rat";"Waning (-)";"A-";0;1
"Cancer";"Rat";"Waxing (+)";"0-";0;0
"Aquarius";"Pig";"Waxing (+)";"0+";0;0
"Scorpio";"Pig";"Waning (-)";"A-";0;1
"Scorpio";"Dragon";"Waxing (+)";"A+";0;1
"Aries";"Monkey";"Waning (-)";"A+";1;1
"Taurus";"Snake";"Waxing (+)";"AB-";0;0
"Taurus";"Rabbit";"Full (O)";"0+";1;0
"Scorpio";"Dragon";"Waning (-)";"B+";1;0
"Gemini";"Rooster";"Waxing (+)";"A+";0;0
"Leo";"Goat";"Waning (-)";"A+";1;0
"Gemini";"Ox";"Waxing (+)";"0+";0;1
"Gemini";"Dragon";"Waxing (+)";"B-";0;0
"Scorpio";"Pig";"Full (O)";"AB+";0;0
"Taurus";"Dragon";"Waxing (+)";"0+";1;0
"Saggitarius";"Monkey";"New ( )";"0+";0;1
"Carpicorn";"Rat";"New ( )";"A+";0;0
"Virgo";"Dragon";"Full (O)";"0+";0;1
"Carpicorn";"Pig";"Full (O)";"0+";0;0
"Taurus";"Snake";"Waxing (+)";"0-";0;0
"Saggitarius";"Monkey";"Waxing (+)";"0+";0;0
"Leo";"Rabbit";"Waxing (+)";"0+";1;1
"Cancer";"Rat";"Waxing (+)";"A+";1;1
"Leo";"Rooster";"Waxing (+)";"0+";0;0
"Saggitarius";"Horse";"Waxing (+)";"A+";1;1
"Libra";"Rabbit";"Waxing (+)";"0+";0;0
"Saggitarius";"Dragon";"Waxing (+)";"B+";0;0
"Aries";"Tiger";"Waxing (+)";"B+";0;0
"Scorpio";"Dog";"Waning (-)";"A+";0;0
"Cancer";"Rooster";"Waxing (+)";"A-";1;1
"Carpicorn";"Tiger";"Full (O)";"B-";0;0
"Scorpio";"Horse";"Waxing (+)";"0+";0;1
"Gemini";"Dog";"Waning (-)";"B+";0;1
"Cancer";"Monkey";"New ( )";"0+";0;0
"Gemini";"Snake";"Waxing (+)";"0+";0;1
"Gemini";"Ox";"Waxing (+)";"0+";0;0
"Saggitarius";"Tiger";"Waxing (+)";"A+";0;1
"Carpicorn";"Rooster";"Waxing (+)";"0+";0;1
"Libra";"Tiger";"Waning (-)";"0-";0;0
"Gemini";"Dog";"Waning (-)";"0+";0;1
"Pisces";"Goat";"New ( )";"0+";1;0
"Aries";"Monkey";"Waning (-)";"B+";0;1
"Taurus";"Monkey";"Waning (-)";"AB+";0;0
"Scorpio";"Tiger";"Waxing (+)";"0+";0;0
"Aquarius";"Horse";"Waning (-)";"0+";0;1
"Scorpio";"Pig";"Waxing (+)";"A+";0;1
"Cancer";"Snake";"Waning (-)";"0+";0;1
"Libra";"Snake";"Waning (-)";"0+";0;1
"Leo";"Snake";"Waxing (+)";"B-";0;0
"Aries";"Pig";"Waxing (+)";"A-";1;1
"Carpicorn";"Rabbit";"Waxing (+)";"A+";0;1
"Carpicorn";"Rat";"Waning (-)";"0-";0;0
"Taurus";"Pig";"Waning (-)";"0+";0;0
"Virgo";"Monkey";"Waxing (+)";"A+";0;0
"Libra";"Ox";"New ( )";"0+";0;1
"Gemini";"Goat";"Waning (-)";"0+";0;0
"Leo";"Goat";"Waning (-)";"B+";0;0
"Gemini";"Rat";"Full (O)";"A+";0;0
"Libra";"Rabbit";"Waxing (+)";"A+";0;0
"Cancer";"Rabbit";"Full (O)";"A+";0;0
"Scorpio";"Horse";"Waxing (+)";"0+";0;1
"Pisces";"Dog";"Waning (-)";"A+";0;1
"Scorpio";"Goat";"Waning (-)";"0+";1;0
"Libra";"Monkey";"Waxing (+)";"B+";0;0
"Leo";"Goat";"Waning (-)";"A+";0;0
"Cancer";"Snake";"Waning (-)";"A+";1;0
"Taurus";"Rabbit";"Waning (-)";"A+";0;0
"Aquarius";"Ox";"New ( )";"0+";0;1
"Aries";"Rooster";"Waning (-)";"0+";0;1
"Pisces";"Pig";"Waxing (+)";"A+";1;0
"Leo";"Dog";"Waxing (+)";"0+";0;0
"Cancer";"Dog";"New ( )";"A+";0;1
"Leo";"Rabbit";"Waning (-)";"A+";0;1
"Leo";"Horse";"Waxing (+)";"A+";0;1
"Saggitarius";"Goat";"Waxing (+)";"A+";0;1
"Saggitarius";"Monkey";"Waning (-)";"B+";0;1
"Gemini";"Snake";"Full (O)";"B+";0;1
"Libra";"Rabbit";"Waxing (+)";"A+";0;1
"Taurus";"Rooster";"Waxing (+)";"0-";0;1
"Saggitarius";"Monkey";"Waxing (+)";"A+";0;1
"Aries";"Rooster";"Waxing (+)";"B+";0;1
"Aries";"Snake";"Waning (-)";"A+";0;0
"Pisces";"Goat";"Waxing (+)";"AB-";1;0
"Libra";"Goat";"Waxing (+)";"0+";0;0
"Virgo";"Pig";"Waning (-)";"0+";0;0
"Virgo";"Horse";"Waning (-)";"A+";0;0
"Aries";"Horse";"Waning (-)";"A+";1;0
"Carpicorn";"Rabbit";"Waxing (+)";"0+";1;0
"Libra";"Rooster";"Waxing (+)";"AB+";0;1
"Libra";"Monkey";"Waxing (+)";"0+";0;0
"Carpicorn";"Ox";"Waxing (+)";"0+";0;1
"Carpicorn";"Dragon";"Waning (-)";"A+";0;0
"Libra";"Rabbit";"Waxing (+)";"AB+";0;0
"Virgo";"Dog";"Waning (-)";"0+";0;0
"Virgo";"Rooster";"Waxing (+)";"0+";0;1
"Carpicorn";"Rat";"Waning (-)";"A+";0;1
"Carpicorn";"Rabbit";"New ( )";"0+";0;0
"Taurus";"Horse";"Waxing (+)";"AB+";0;1
"Libra";"Pig";"Waning (-)";"0+";0;0
"Scorpio";"Snake";"Waning (-)";"A+";0;1
"Gemini";"Snake";"Waning (-)";"0+";0;1
"Leo";"Snake";"New ( )";"A+";0;0
"Cancer";"Snake";"Waning (-)";"0+";1;1
"Gemini";"Dog";"Waning (-)";"A+";1;0
"Pisces";"Ox";"Waxing (+)";"0-";0;0
"Virgo";"Snake";"Waning (-)";"0+";0;0
"Taurus";"Tiger";"Waxing (+)";"B+";0;0
"Saggitarius";"Monkey";"Waning (-)";"0+";1;0
"Aquarius";"Ox";"Waxing (+)";"0-";1;0
"Scorpio";"Tiger";"Waxing (+)";"0+";1;0
"Scorpio";"Dragon";"Waxing (+)";"A+";0;0
"Aquarius";"Rooster";"Waning (-)";"A+";0;1
"Pisces";"Dog";"Waxing (+)";"B+";0;1
"Aquarius";"Horse";"Waning (-)";"B+";0;1
"Scorpio";"Rooster";"Full (O)";"0+";0;1
"Aquarius";"Rabbit";"New ( )";"B+";0;0
"Cancer";"Rabbit";"Waning (-)";"A+";1;0
"Virgo";"Dragon";"Waxing (+)";"B+";0;0
"Virgo";"Rooster";"Waxing (+)";"A-";0;1
"Gemini";"Rooster";"Waning (-)";"0+";1;1
"Taurus";"Rat";"Full (O)";"A+";0;0
